"Genes","Scores","Type","Description"
"RILP","0.000001405","Peripheral","Rab interacting lysosomal protein"
"PUS3","0.000001404","Peripheral","pseudouridine synthase 3"
"MBNL1","0.000001404","Peripheral","muscleblind like splicing regulator 1"
"RRP1B","0.000001402","Peripheral","ribosomal RNA processing 1B"
"POU3F1","0.000001401","Peripheral","POU class 3 homeobox 1"
"TWIST2","0.000001401","Peripheral","twist family bHLH transcription factor 2"
"SELENOI","0.0000014","Peripheral","selenoprotein I"
"RASA4","0.000001399","Peripheral","RAS p21 protein activator 4"
"MPG","0.000001399","Peripheral","N-methylpurine DNA glycosylase"
"DOCK11","0.000001399","Peripheral","dedicator of cytokinesis 11"
"PDIA5","0.000001398","Peripheral","protein disulfide isomerase family A member 5"
"SAV1","0.000001398","Peripheral","salvador family WW domain containing protein 1"
"BTG2","0.000001398","Peripheral","BTG anti-proliferation factor 2"
"DDX25","0.000001398","Peripheral","DEAD-box helicase 25"
"UNC119","0.000001398","Peripheral","unc-119 lipid binding chaperone"
"ASB12","0.000001398","Peripheral","ankyrin repeat and SOCS box containing 12"
"MYBL1","0.000001397","Peripheral","MYB proto-oncogene like 1"
"ACACA","0.000001397","Peripheral","acetyl-CoA carboxylase alpha"
"LUC7L2","0.000001396","Peripheral","LUC7 like 2, pre-mRNA splicing factor"
"GPR148","0.000001395","Peripheral","G protein-coupled receptor 148"
"RYBP","0.000001395","Peripheral","RING1 and YY1 binding protein"
"GCN1","0.000001394","Peripheral","GCN1 activator of EIF2AK4"
"KRT5","0.000001393","Peripheral","keratin 5"
"NPAS3","0.000001393","Peripheral","neuronal PAS domain protein 3"
"SCYL1","0.000001393","Peripheral","SCY1 like pseudokinase 1"
"PGM1","0.000001393","Peripheral","phosphoglucomutase 1"
"NSMCE3","0.000001393","Peripheral","NSE3 homolog, SMC5-SMC6 complex component"
"FBXO45","0.000001392","Peripheral","F-box protein 45"
"ZFP42","0.000001392","Peripheral","ZFP42 zinc finger protein"
"RPS26","0.000001391","Peripheral","ribosomal protein S26"
"SSBP1","0.000001391","Peripheral","single stranded DNA binding protein 1"
"RABGGTA","0.000001391","Peripheral","Rab geranylgeranyltransferase subunit alpha"
"NAF1","0.00000139","Peripheral","nuclear assembly factor 1 ribonucleoprotein"
"SWSAP1","0.00000139","Peripheral","SWIM-type zinc finger 7 associated protein 1"
"GPAM","0.000001389","Peripheral","glycerol-3-phosphate acyltransferase, mitochondrial"
"MASP2","0.000001389","Peripheral","MBL associated serine protease 2"
"TASOR","0.000001389","Peripheral","transcription activation suppressor"
"ATP6V0D2","0.000001389","Peripheral","ATPase H+ transporting V0 subunit d2"
"BMPER","0.000001388","Peripheral","BMP binding endothelial regulator"
"SOX6","0.000001387","Peripheral","SRY-box transcription factor 6"
"ASB10","0.000001386","Peripheral","ankyrin repeat and SOCS box containing 10"
"GNL3","0.000001386","Peripheral","G protein nucleolar 3"
"MRPL11","0.000001386","Peripheral","mitochondrial ribosomal protein L11"
"EYA4","0.000001385","Peripheral","EYA transcriptional coactivator and phosphatase 4"
"MTIF2","0.000001385","Peripheral","mitochondrial translational initiation factor 2"
"MYOZ2","0.000001384","Peripheral","myozenin 2"
"CHST9","0.000001384","Peripheral","carbohydrate sulfotransferase 9"
"NASP","0.000001383","Peripheral","nuclear autoantigenic sperm protein"
"G6PC3","0.000001383","Peripheral","glucose-6-phosphatase catalytic subunit 3"
"G6PC2","0.000001383","Peripheral","glucose-6-phosphatase catalytic subunit 2"
"TBCE","0.000001383","Peripheral","tubulin folding cofactor E"
"PKP1","0.000001383","Peripheral","plakophilin 1"
"DSE","0.000001383","Peripheral","dermatan sulfate epimerase"
"WDFY2","0.000001382","Peripheral","WD repeat and FYVE domain containing 2"
"MTMR8","0.000001381","Peripheral","myotubularin related protein 8"
"DTYMK","0.000001381","Peripheral","deoxythymidylate kinase"
"ATXN7L2","0.00000138","Peripheral","ataxin 7 like 2"
"USP51","0.00000138","Peripheral","ubiquitin specific peptidase 51"
"RPS27L","0.00000138","Peripheral","ribosomal protein S27 like"
"TRAPPC1","0.00000138","Peripheral","trafficking protein particle complex subunit 1"
"SLC48A1","0.000001379","Core","solute carrier family 48 member 1"
"GRK7","0.000001378","Peripheral","G protein-coupled receptor kinase 7"
"EPG5","0.000001378","Peripheral","ectopic P-granules autophagy protein 5 homolog"
"BIVM-ERCC5","0.000001378","Peripheral","BIVM-ERCC5 readthrough"
"YY2","0.000001377","Peripheral","YY2 transcription factor"
"SRSF10","0.000001377","Peripheral","serine and arginine rich splicing factor 10"
"NPHP4","0.000001377","Peripheral","nephrocystin 4"
"FXYD1","0.000001376","Peripheral","FXYD domain containing ion transport regulator 1"
"GYPC","0.000001376","Peripheral","glycophorin C (Gerbich blood group)"
"CAPRIN1","0.000001375","Peripheral","cell cycle associated protein 1"
"THOC1","0.000001375","Peripheral","THO complex 1"
"RHBDF2","0.000001374","Peripheral","rhomboid 5 homolog 2"
"WNT9A","0.000001374","Peripheral","Wnt family member 9A"
"CHRM5","0.000001374","Peripheral","cholinergic receptor muscarinic 5"
"EYA2","0.000001374","Peripheral","EYA transcriptional coactivator and phosphatase 2"
"PSKH1","0.000001374","Peripheral","protein serine kinase H1"
"SCLT1","0.000001373","Peripheral","sodium channel and clathrin linker 1"
"HNRNPAB","0.000001373","Peripheral","heterogeneous nuclear ribonucleoprotein A/B"
"FDPS","0.000001372","Peripheral","farnesyl diphosphate synthase"
"CASS4","0.000001372","Peripheral","Cas scaffold protein family member 4"
"ACP2","0.000001372","Peripheral","acid phosphatase 2, lysosomal"
"STK10","0.000001371","Peripheral","serine/threonine kinase 10"
"ZPR1","0.000001371","Peripheral","ZPR1 zinc finger"
"TEX10","0.000001369","Peripheral","testis expressed 10"
"PROP1","0.000001369","Peripheral","PROP paired-like homeobox 1"
"SI","0.000001369","Peripheral","sucrase-isomaltase"
"RPS25","0.000001368","Peripheral","ribosomal protein S25"
"CRB3","0.000001368","Peripheral","crumbs cell polarity complex component 3"
"B4GALNT3","0.000001368","Peripheral","beta-1,4-N-acetyl-galactosaminyltransferase 3"
"B4GALNT4","0.000001368","Peripheral","beta-1,4-N-acetyl-galactosaminyltransferase 4"
"SHQ1","0.000001367","Peripheral","SHQ1, H/ACA ribonucleoprotein assembly factor"
"CDH13","0.000001367","Peripheral","cadherin 13"
"SVIP","0.000001367","Peripheral","small VCP interacting protein"
"H1-8","0.000001366","Peripheral","H1.8 linker histone"
"CELF4","0.000001365","Peripheral","CUGBP Elav-like family member 4"
"ADHFE1","0.000001365","Peripheral","alcohol dehydrogenase iron containing 1"
"GRWD1","0.000001364","Peripheral","glutamate rich WD repeat containing 1"
"EFEMP1","0.000001364","Peripheral","EGF containing fibulin extracellular matrix protein 1"
"NOC4L","0.000001364","Peripheral","nucleolar complex associated 4 homolog"
"ATP1A2","0.000001363","Peripheral","ATPase Na+/K+ transporting subunit alpha 2"
"FKRP","0.000001362","Peripheral","fukutin related protein"
"GABRB1","0.000001362","Peripheral","gamma-aminobutyric acid type A receptor subunit beta1"
"WRNIP1","0.000001361","Peripheral","WRN helicase interacting protein 1"
"MICALL1","0.000001361","Peripheral","MICAL like 1"
"TTL","0.00000136","Peripheral","tubulin tyrosine ligase"
"BCL2L12","0.00000136","Peripheral","BCL2 like 12"
"C1D","0.00000136","Peripheral","C1D nuclear receptor corepressor"
"IL16","0.000001359","Peripheral","interleukin 16"
"ZMPSTE24","0.000001359","Peripheral","zinc metallopeptidase STE24"
"ENO2","0.000001358","Peripheral","enolase 2"
"TM7SF2","0.000001358","Peripheral","transmembrane 7 superfamily member 2"
"FBXO31","0.000001358","Peripheral","F-box protein 31"
"CHPF2","0.000001356","Peripheral","chondroitin polymerizing factor 2"
"CHPF","0.000001356","Peripheral","chondroitin polymerizing factor"
"CDYL","0.000001356","Peripheral","chromodomain Y like"
"GABRA4","0.000001355","Peripheral","gamma-aminobutyric acid type A receptor subunit alpha4"
"GABRA5","0.000001355","Peripheral","gamma-aminobutyric acid type A receptor subunit alpha5"
"PTTG1","0.000001355","Peripheral","PTTG1 regulator of sister chromatid separation, securin"
"KCNE5","0.000001355","Peripheral","potassium voltage-gated channel subfamily E regulatory subunit 5"
"WNT6","0.000001354","Peripheral","Wnt family member 6"
"BANP","0.000001354","Peripheral","BTG3 associated nuclear protein"
"HSD17B1","0.000001354","Peripheral","hydroxysteroid 17-beta dehydrogenase 1"
"GJB1","0.000001353","Peripheral","gap junction protein beta 1"
"DRAXIN","0.000001353","Peripheral","dorsal inhibitory axon guidance protein"
"SMTN","0.000001351","Peripheral","smoothelin"
"PARP3","0.000001351","Peripheral","poly(ADP-ribose) polymerase family member 3"
"F9","0.000001351","Peripheral","coagulation factor IX"
"RSL24D1","0.000001351","Peripheral","ribosomal L24 domain containing 1"
"ATP6V1D","0.00000135","Peripheral","ATPase H+ transporting V1 subunit D"
"MBD3L1","0.000001349","Peripheral","methyl-CpG binding domain protein 3 like 1"
"CCDC120","0.000001348","Peripheral","coiled-coil domain containing 120"
"SERBP1","0.000001348","Peripheral","SERPINE1 mRNA binding protein 1"
"PDE6H","0.000001348","Peripheral","phosphodiesterase 6H"
"TMX4","0.000001348","Peripheral","thioredoxin related transmembrane protein 4"
"ADRA2C","0.000001347","Peripheral","adrenoceptor alpha 2C"
"WIZ","0.000001347","Peripheral","WIZ zinc finger"
"LMTK2","0.000001346","Peripheral","lemur tyrosine kinase 2"
"EIF3H","0.000001346","Peripheral","eukaryotic translation initiation factor 3 subunit H"
"GINS2","0.000001346","Peripheral","GINS complex subunit 2"
"ATP6V0D1","0.000001345","Peripheral","ATPase H+ transporting V0 subunit d1"
"MVP","0.000001345","Peripheral","major vault protein"
"EIF3C","0.000001345","Peripheral","eukaryotic translation initiation factor 3 subunit C"
"PIGK","0.000001344","Peripheral","phosphatidylinositol glycan anchor biosynthesis class K"
"KCNA1","0.000001343","Peripheral","potassium voltage-gated channel subfamily A member 1"
"ATF7IP","0.000001343","Peripheral","activating transcription factor 7 interacting protein"
"P2RX5","0.000001342","Peripheral","purinergic receptor P2X 5"
"P2RX1","0.000001342","Peripheral","purinergic receptor P2X 1"
"P2RX3","0.000001342","Peripheral","purinergic receptor P2X 3"
"P2RX4","0.000001342","Peripheral","purinergic receptor P2X 4"
"RPS6KC1","0.000001341","Peripheral","ribosomal protein S6 kinase C1"
"SPHKAP","0.000001341","Peripheral","SPHK1 interactor, AKAP domain containing"
"R3HDM4","0.00000134","Peripheral","R3H domain containing 4"
"FSHR","0.00000134","Peripheral","follicle stimulating hormone receptor"
"WEE2","0.000001339","Peripheral","WEE2 oocyte meiosis inhibiting kinase"
"ARRDC4","0.000001338","Peripheral","arrestin domain containing 4"
"ARRDC5","0.000001338","Peripheral","arrestin domain containing 5"
"RFX3","0.000001338","Peripheral","regulatory factor X3"
"PARP4","0.000001338","Peripheral","poly(ADP-ribose) polymerase family member 4"
"AP1S3","0.000001338","Peripheral","adaptor related protein complex 1 subunit sigma 3"
"METTL1","0.000001338","Peripheral","methyltransferase 1, tRNA methylguanosine"
"CYP2D6","0.000001338","Peripheral","cytochrome P450 family 2 subfamily D member 6"
"SSX4B","0.000001338","Peripheral","SSX family member 4B"
"GMPR","0.000001337","Peripheral","guanosine monophosphate reductase"
"H1-10","0.000001337","Peripheral","H1.10 linker histone"
"CHSY1","0.000001336","Peripheral","chondroitin sulfate synthase 1"
"CHSY3","0.000001336","Peripheral","chondroitin sulfate synthase 3"
"XRN2","0.000001335","Peripheral","5'-3' exoribonuclease 2"
"KCNJ16","0.000001335","Peripheral","potassium inwardly rectifying channel subfamily J member 16"
"ITPA","0.000001334","Peripheral","inosine triphosphatase"
"NRF1","0.000001334","Peripheral","nuclear respiratory factor 1"
"KLC3","0.000001334","Peripheral","kinesin light chain 3"
"GABRA3","0.000001334","Peripheral","gamma-aminobutyric acid type A receptor subunit alpha3"
"VASH2","0.000001333","Peripheral","vasohibin 2"
"SERPINA3","0.000001333","Peripheral","serpin family A member 3"
"SSBP4","0.000001332","Peripheral","single stranded DNA binding protein 4"
"RAD54L2","0.000001331","Peripheral","RAD54 like 2"
"EAF1","0.000001331","Peripheral","ELL associated factor 1"
"SGSM1","0.000001331","Peripheral","small G protein signaling modulator 1"
"GDF3","0.00000133","Peripheral","growth differentiation factor 3"
"DDX10","0.00000133","Peripheral","DEAD-box helicase 10"
"OPTC","0.00000133","Peripheral","opticin"
"TK1","0.000001329","Peripheral","thymidine kinase 1"
"DCPS","0.000001329","Peripheral","decapping enzyme, scavenger"
"ADAMTS4","0.000001329","Peripheral","ADAM metallopeptidase with thrombospondin type 1 motif 4"
"SELENON","0.000001328","Peripheral","selenoprotein N"
"PEX14","0.000001327","Peripheral","peroxisomal biogenesis factor 14"
"CHD5","0.000001327","Peripheral","chromodomain helicase DNA binding protein 5"
"BBS2","0.000001326","Peripheral","Bardet-Biedl syndrome 2"
"ATP6V1B2","0.000001326","Peripheral","ATPase H+ transporting V1 subunit B2"
"CHST15","0.000001326","Peripheral","carbohydrate sulfotransferase 15"
"RGPD6","0.000001326","Peripheral","RANBP2 like and GRIP domain containing 6"
"LRGUK","0.000001325","Peripheral","leucine rich repeats and guanylate kinase domain containing"
"LRRC43","0.000001325","Peripheral","leucine rich repeat containing 43"
"LRRCC1","0.000001325","Peripheral","leucine rich repeat and coiled-coil centrosomal protein 1"
"WDR64","0.000001325","Peripheral","WD repeat domain 64"
"LRRIQ1","0.000001325","Peripheral","leucine rich repeats and IQ motif containing 1"
"DRC3","0.000001325","Peripheral","dynein regulatory complex subunit 3"
"LRRC23","0.000001325","Peripheral","leucine rich repeat containing 23"
"ONECUT2","0.000001325","Peripheral","one cut homeobox 2"
"TRIM29","0.000001325","Peripheral","tripartite motif containing 29"
"GABRA6","0.000001323","Peripheral","gamma-aminobutyric acid type A receptor subunit alpha6"
"LALBA","0.000001323","Peripheral","lactalbumin alpha"
"EBNA1BP2","0.000001323","Peripheral","EBNA1 binding protein 2"
"SLC1A7","0.000001323","Peripheral","solute carrier family 1 member 7"
"KCTD12","0.000001323","Peripheral","potassium channel tetramerization domain containing 12"
"CHTF8","0.000001322","Peripheral","chromosome transmission fidelity factor 8"
"NPAT","0.000001322","Peripheral","nuclear protein, coactivator of histone transcription"
"GGA2","0.000001321","Peripheral","golgi associated, gamma adaptin ear containing, ARF binding protein 2"
"PODXL2","0.000001321","Peripheral","podocalyxin like 2"
"JPH1","0.000001321","Peripheral","junctophilin 1"
"VASH1","0.000001319","Peripheral","vasohibin 1"
"RPL35","0.000001319","Peripheral","ribosomal protein L35"
"MYO15A","0.000001318","Peripheral","myosin XVA"
"TOB2","0.000001318","Peripheral","transducer of ERBB2, 2"
"KAZN","0.000001318","Peripheral","kazrin, periplakin interacting protein"
"CDK11B","0.000001317","Peripheral","cyclin dependent kinase 11B"
"MBD3L2","0.000001317","Peripheral","methyl-CpG binding domain protein 3 like 2"
"YAF2","0.000001317","Peripheral","YY1 associated factor 2"
"RNF126","0.000001316","Peripheral","ring finger protein 126"
"TBC1D14","0.000001315","Peripheral","TBC1 domain family member 14"
"CYP20A1","0.000001315","Peripheral","cytochrome P450 family 20 subfamily A member 1"
"CFP","0.000001315","Peripheral","complement factor properdin"
"DYRK1B","0.000001314","Peripheral","dual specificity tyrosine phosphorylation regulated kinase 1B"
"DMAC2L","0.000001313","Peripheral","distal membrane arm assembly component 2 like"
"GABRA2","0.000001313","Peripheral","gamma-aminobutyric acid type A receptor subunit alpha2"
"CEP290","0.000001312","Peripheral","centrosomal protein 290"
"CSDE1","0.000001312","Peripheral","cold shock domain containing E1"
"RINL","0.000001312","Peripheral","Ras and Rab interactor like"
"BUD23","0.000001312","Peripheral","BUD23 rRNA methyltransferase and ribosome maturation factor"
"TONSL","0.000001311","Peripheral","tonsoku like, DNA repair protein"
"ROR1","0.00000131","Peripheral","receptor tyrosine kinase like orphan receptor 1"
"SH2D3C","0.000001309","Peripheral","SH2 domain containing 3C"
"EHBP1L1","0.000001309","Peripheral","EH domain binding protein 1 like 1"
"MYO18B","0.000001308","Peripheral","myosin XVIIIB"
"MYO9A","0.000001308","Peripheral","myosin IXA"
"PPIL3","0.000001308","Peripheral","peptidylprolyl isomerase like 3"
"NR2C2AP","0.000001308","Peripheral","nuclear receptor 2C2 associated protein"
"FOXD3","0.000001307","Peripheral","forkhead box D3"
"EEF1A2","0.000001306","Peripheral","eukaryotic translation elongation factor 1 alpha 2"
"EIF3L","0.000001306","Peripheral","eukaryotic translation initiation factor 3 subunit L"
